"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","ParentTxFrom","ParentTxTo","ParentTxETH_Value","From","TxTo","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $4045.59366105672/ETH","Historical $Price/ETH","Status","ErrCode","Type","PrivateNote"
"0x2f31ec4a935f5cd683791950df7a43a9b12132f3ae2adbcd8743f285ad4efd5c","232504450","1721057334","2024-07-15 15:28:54","0xc539cb358a58ac67185baad4d5e3f7fcfc903700","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.0002052916420775","0","0.830526565856659","3485.50","0","","call",""
"0x8ed50a4df9b9940a4e83a43b2b00d24bd16e91df030a5e42c7c9df6f2f738f69","232509255","1721058540","2024-07-15 15:49:00","0x8e66ee36f2c7b9461f50aa0b53ef0e4e47f4abbf","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000035394051","0","0.143189948364718","3485.50","0","","call",""
"0xb79ba25f930891edbdc5035f050d3a42eca3b0ff81ca5bc69989c1361ad4708c","232517190","1721060530","2024-07-15 16:22:10","0xe47b36382dc50b90bcf6176ddb159c4b9333a7ab","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000033236961","0","0.134463238734389","3485.50","0","","call",""
"0x980c0d528e470ed60bca5868ee6d830acc8c78ab1b01a053d703c0ba33a2e945","232519630","1721061142","2024-07-15 16:32:22","0x8e66ee36f2c7b9461f50aa0b53ef0e4e47f4abbf","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000035935935","0","0.145382190840146","3485.50","0","","call",""
"0x9520fd070d85310da01d263c3cfadac2281b0a8a3d2e9a2fc9b5705f2d0d45e4","232529415","1721063599","2024-07-15 17:13:19","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.00004279632542","0","0.173136542835673","3485.50","0","","call",""
"0x9520fd070d85310da01d263c3cfadac2281b0a8a3d2e9a2fc9b5705f2d0d45e4","232529415","1721063599","2024-07-15 17:13:19","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000161123581134","0","0.651840538482468","3485.50","0","","call",""
"0x1598319e910e33ef39487c9a91ab0dc836a5143ffefb36654c7226bc8da71c38","232605380","1721082690","2024-07-15 22:31:30","0xc539cb358a58ac67185baad4d5e3f7fcfc903700","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000031486844","0","0.127382976493082","3485.50","0","","call",""
"0x98929bb7b728fd6e1d4bd891ed5e01980b79e170ca48857e1d20e4b4300f0e35","233214121","1721235154","2024-07-17 16:52:34","0xeb2bb25ddd2b1872d5189ae72fcec9b160dd3fb2","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.0003284815104706","0","1.3289027165342","3387.66","0","","call",""
"0x5c98d323409b01eb65aff016ed162f952a2b0bc823d2bc31d79bee7624f3ebb6","233216751","1721235815","2024-07-17 17:03:35","0xe47b36382dc50b90bcf6176ddb159c4b9333a7ab","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.0001202876080752","0","0.486634784732704","3387.66","0","","call",""
"0x7d4703e5754567bcb33c94e0fab229c1240c4f7d94d51eac2becd90670884a08","233230465","1721239256","2024-07-17 18:00:56","0x8808c5e5bc9317bf8cb5ee62339594b8d95f77df","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000032202735","0","0.130279180584689","3387.66","0","","call",""
