Date (GMT-4),Action,Size,Market,Full market,Mark Price,Acceptable Price,Execution Price,Trigger Price,Price Impact,Transaction ID,PnL ($)
2024-08-19 10:53:14,Execute Limit,"+$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],"$58,484.83","<  $58,689.98","$58,519.04",,-$1.88,https://arbiscan.io/tx/0x5e1f8a3a2dc13cc4f5630222036cf788414dd665cd48ebac5c5db93d002c8c50,
2024-08-19 10:53:06,Create Limit,"+$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],,"<  $58,689.98",,"<  $58,485.28",,https://arbiscan.io/tx/0x9626adf04a74f3265dc956dfca90bf86648ab8428f21273ef0b7e05cd226c9b9,
2024-08-19 10:53:06,Update Stop Loss,"-$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,084.90",,https://arbiscan.io/tx/0x9626adf04a74f3265dc956dfca90bf86648ab8428f21273ef0b7e05cd226c9b9,
2024-08-19 10:53:06,Cancel Take Profit,"-$2,190.71",Long BTC/USD,BTC/USD [BTC-USDC],,">  $59,596.76",,">  $59,776.09",,https://arbiscan.io/tx/0x9626adf04a74f3265dc956dfca90bf86648ab8428f21273ef0b7e05cd226c9b9,
2024-08-19 10:51:44,Market Decrease,"-$1,586.39",Short BTC/USD,BTC/USD [BTC-USDC],"$58,498.46","<  $58,707.69","$58,532.25",,-$0.92,https://arbiscan.io/tx/0x848cfea902c815f30da35d17a270ee940081e3679a1121c315970d9f258308f0,-$12.31
2024-08-19 10:03:17,Market Increase,"+$1,586.39",Short BTC/USD,BTC/USD [BTC-USDC],"$58,111.16",">  $57,975.58","$58,121.82",,+$0.29,https://arbiscan.io/tx/0x92e72ec1cb1f9291ade072987dddd91dbb1a426d52463965e3146b46cf371f0a,
2024-08-19 10:03:15,Cancel Take Profit,"-$5,514.02",Short BTC/USD,BTC/USD [BTC-USDC],,"<  $58,769.37",,"<  $58,593.59",,https://arbiscan.io/tx/0x37c0b51186b3008f8ce5ab675d8b1a8dc93f53a45bc4102d4b18e82befa9e1e9,
2024-08-19 10:03:15,Create Stop Loss,"-$1,586.39",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $59,009.35",,https://arbiscan.io/tx/0x37c0b51186b3008f8ce5ab675d8b1a8dc93f53a45bc4102d4b18e82befa9e1e9,
2024-08-19 10:03:15,Cancel Stop Loss,"-$5,514.02",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $59,377.39",,https://arbiscan.io/tx/0x37c0b51186b3008f8ce5ab675d8b1a8dc93f53a45bc4102d4b18e82befa9e1e9,
2024-08-19 09:53:01,Market Decrease,"-$2,190.71",Long BTC/USD,BTC/USD [BTC-USDC],"$58,231.47",">  $58,001.07","$58,242.22",,+$0.40,https://arbiscan.io/tx/0xba52c797878999f32fc67b16f3875e8072605c735cc4a758abe394103a768f1a,-$19.89
2024-08-19 09:19:39,Create Take Profit,"-$2,190.71",Long BTC/USD,BTC/USD [BTC-USDC],,">  $59,596.76",,">  $59,776.09",,https://arbiscan.io/tx/0x5680be62000fbd4233bcb9ca49c2c6c679d7e0e970e682d9f368490387148373,
2024-08-19 09:16:33,Market Increase,"+$2,190.71",Long BTC/USD,BTC/USD [BTC-USDC],"$58,711.47","<  $58,889.93","$58,745.61",,-$1.27,https://arbiscan.io/tx/0x4624b09578a76b8bbc07be887d2db522a1cc248fed6952a69be47292844289b5,
2024-08-19 09:16:31,Create Stop Loss,"-$2,190.71",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,059.71",,https://arbiscan.io/tx/0xda9f3c934b74e7fe3c5f6efabe79fb78c46bcb733218a785068a4cb0c2afcb32,
2024-08-17 17:21:57,Execute Stop Loss,"-$4,775.60",Long BTC/USD,BTC/USD [BTC-USDC],"$59,250.28",,"$59,249.98",,-$0.02,https://arbiscan.io/tx/0x7c2b6cb2f2cef1e240bac9eab55f50753ebc3ecedc99e16ca5dbe91001a51855,-$15.16
2024-08-17 13:21:51,Update Stop Loss,"-$4,775.60",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $59,252.02",,https://arbiscan.io/tx/0xdf538ed9883afa17fd9ffcfa32d6c27cef6b4181d8b20d76f38b7aa3ed8f9dbe,
2024-08-17 09:31:35,Market Increase,"+$4,775.60",Long BTC/USD,BTC/USD [BTC-USDC],"$59,368.79","<  $59,565.46","$59,387.20",,-$1.48,https://arbiscan.io/tx/0xb4556e99e8f1adc718216c5c238e5ed0e238cb6343d414016a2a732b25dbda1f,
2024-08-17 09:31:33,Create Stop Loss,"-$4,775.60",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $59,072.72",,https://arbiscan.io/tx/0x138ccbe71c0125e10737bb9405998e366eca2a46fffd2425853ca95210904423,
2024-08-16 18:34:12,Market Decrease,"-$5,514.02",Short BTC/USD,BTC/USD [BTC-USDC],"$59,184.60","<  $59,356.24","$59,179.17",,+$0.51,https://arbiscan.io/tx/0xc8d2ae6b28c5f0afdaa6e3907f2a8acefd16c65c841129db6b7b6f04fee01fd5,-$21.32
2024-08-16 18:04:02,Update Stop Loss,"-$5,514.02",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $59,377.39",,https://arbiscan.io/tx/0x2b4d7b16b58a094768fb1ba53e5d8fbeebb603e61b7786b83d0ec4a2c1e0eecb,
2024-08-16 17:58:31,Market Increase,"+$5,514.02",Short BTC/USD,BTC/USD [BTC-USDC],"$58,999.37",">  $58,818.25","$58,980.88",,-$1.73,https://arbiscan.io/tx/0x57056af4a531ac6e3a3d0b424c8cee8b99e9c705b11fcdfe5fb1c52a89d02231,
2024-08-16 17:58:29,Create Stop Loss,"-$5,514.02",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $59,261.38",,https://arbiscan.io/tx/0x83614961d7a93f44daad4e69027da02febd3d592e184f9045254fbd1a659df05,
2024-08-16 17:58:29,Create Take Profit,"-$5,514.02",Short BTC/USD,BTC/USD [BTC-USDC],,"<  $58,769.37",,"<  $58,593.59",,https://arbiscan.io/tx/0x83614961d7a93f44daad4e69027da02febd3d592e184f9045254fbd1a659df05,
2024-08-16 09:16:31,Execute Stop Loss,"-$3,736.88",Short BTC/USD,BTC/USD [BTC-USDC],"$58,531.82",,"$58,526.66",,+$0.33,https://arbiscan.io/tx/0x87dbe159b98059a11a6811582a07b8cc4975a8e88b3935957d0f805200c9deef,-$14.89
2024-08-16 09:03:38,Update Stop Loss,"-$3,736.88",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $58,512.14",,https://arbiscan.io/tx/0xa75927cd05daff14537fc3fb21d0e6f61de369e12f3788301925a336b288de9f,
2024-08-16 07:54:35,Execute Limit,"+$3,736.88",Short BTC/USD,BTC/USD [BTC-USDC],"$58,319.36",">  $58,142.04","$58,323.82",,+$0.29,https://arbiscan.io/tx/0xb2c6ceee6c921f6286281f91618467b2f3738cedb9c47be6019d68a03aaf0d5a,
